date,open,high,close,low,volume,ma5,ma10,ma20
2008-01-29,4742.901,4845.658,4762.083,4688.728,2906225600.0,4914.7438,5075.913,5327.3915
2008-01-30,4817.161,4858.101,4710.652,4606.144,3409897600.0,4861.852,4996.4065,5293.66895
2008-01-31,4693.607,4733.699,4620.401,4614.282,3085258000.0,4780.4896,4921.8842,5253.5873
2008-02-01,4623.621,4660.994,4571.945,4414.119,3512552800.0,4679.3928,4837.6319,5208.00205
2008-02-04,4695.546,4951.248,4950.124,4695.546,4095314500.0,4723.041,4818.0709,5177.6786
2008-02-05,4942.875,4995.574,4921.829,4878.119,3279635600.0,4754.9902,4834.867,5147.36735
2008-02-13,4858.814,4883.244,4816.084,4785.8,2147565900.0,4776.0766,4818.9643,5107.48365
2008-02-14,4858.849,4913.318,4880.252,4842.847,1983778900.0,4828.0468,4804.2682,5067.88855
2008-02-15,4846.024,4846.024,4813.311,4742.101,2426260100.0,4876.32,4777.8564,5023.59675
2008-02-18,4875.215,4944.88,4910.992,4845.308,3059007800.0,4868.4936,4795.7673,4982.5585
2008-02-19,4926.839,5020.753,5020.753,4885.695,3617696500.0,4888.2784,4821.6343,4948.77365
2008-02-20,5032.777,5062.261,4908.717,4901.661,3955772200.0,4906.805,4841.4408,4918.92365
2008-02-21,4878.569,4924.449,4876.03,4796.099,3340361600.0,4905.9606,4867.0037,4894.44395
2008-02-22,4850.882,4850.882,4702.241,4649.813,3791862700.0,4883.7466,4880.0333,4858.8326
2008-02-25,4704.316,4722.636,4519.783,4510.695,3365200100.0,4805.5048,4836.9992,4827.53505
2008-02-26,4637.6,4668.831,4515.533,4394.594,3327639000.0,4704.4608,4796.3696,4815.6183
2008-02-27,4543.097,4660.408,4639.768,4500.89,2959239300.0,4650.671,4778.738,4798.85115
2008-02-28,4651.157,4670.173,4622.056,4582.823,2539817100.0,4599.8762,4752.9184,4778.5933
2008-02-29,4616.24,4683.159,4674.55,4597.627,2335085800.0,4594.338,4739.0423,4758.44935
2008-03-03,4648.735,4803.9,4790.744,4611.7,3925841100.0,4648.5302,4727.0175,4761.3924
