date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2014-11-24,2614.16,2667.671,2649.258,2602.944,279839712.0,65.803,2.55,2649.258,2649.258,2649.258,279839712.0,279839712.0,279839712.0
2014-11-25,2650.085,2686.063,2685.5609999999997,2643.843,222611696.0,36.303000000000004,1.37,2667.409,2667.409,2667.409,251225704.0,251225704.0,251225704.0
2014-11-26,2695.263,2723.36,2723.018,2690.31,243962480.0,37.457,1.4,2685.946,2685.946,2685.946,248804629.33,248804629.33,248804629.33
2014-11-27,2737.03,2754.49,2754.49,2718.704,265464736.0,31.471999999999998,1.16,2703.0820000000003,2703.0820000000003,2703.0820000000003,252969656.0,252969656.0,252969656.0
2014-11-28,2753.925,2809.5429999999997,2808.8190000000004,2740.3740000000003,375323648.0,54.32899999999999,1.97,2724.2290000000003,2724.2290000000003,2724.2290000000003,277440454.4,277440454.4,277440454.4
2014-12-01,2825.611,2855.3320000000003,2819.812,2808.653,365487424.0,10.993,0.39,2758.34,2740.16,2740.16,294569996.8,292114949.33,292114949.33
2014-12-02,2807.3379999999997,2944.506,2923.94,2804.2929999999997,361465312.0,104.12799999999999,3.69,2806.0159999999996,2766.414,2766.414,322340720.0,302022144.0,302022144.0
2014-12-03,2936.1240000000003,3028.225,2967.5490000000004,2912.2459999999996,466156672.0,43.608999999999995,1.49,2854.922,2791.5559999999996,2791.5559999999996,366779558.4,322538960.0,322538960.0
2014-12-04,2975.403,3104.89,3104.3509999999997,2968.8759999999997,426812928.0,136.80200000000002,4.61,2924.8940000000002,2826.3109999999997,2826.3109999999997,399049196.8,334124956.44,334124956.44
2014-12-05,3143.968,3195.798,3124.885,3011.9359999999997,524881248.0,20.534000000000002,0.66,2988.107,2856.1679999999997,2856.1679999999997,428960716.8,353200585.6,353200585.6
2014-12-08,3108.272,3270.881,3252.881,3075.7,484462336.0,127.99600000000001,4.1,3074.7209999999995,2916.531,2892.2329999999997,452755699.2,373662848.0,365133472.0
2014-12-09,3233.097,3387.827,3106.913,3074.5159999999996,632874560.0,-145.968,-4.49,3111.316,2958.6659999999997,2910.123,507037548.8,414689134.4,387445229.33
2014-12-10,3120.212,3229.047,3221.546,3058.191,425018720.0,114.633,3.69,3162.115,3008.5190000000002,2934.079,498809958.4,432794758.4,390335497.85
2014-12-11,3185.1609999999996,3254.4240000000004,3183.012,3158.4429999999998,367091680.0,-38.534,-1.2,3177.847,3051.3709999999996,2951.86,486865708.8,442957452.8,388675225.14
2014-12-12,3182.923,3239.447,3193.2270000000003,3167.928,301065312.0,10.215,0.32,3191.5159999999996,3089.812,2967.9509999999996,442102521.6,435531619.2,382834564.27
2014-12-15,3176.829,3226.2209999999995,3217.228,3143.297,290193824.0,24.000999999999998,0.75,3184.385,3129.553,2983.531,403248819.2,428002259.2,377044518.0
2014-12-16,3221.3579999999997,3303.402,3303.402,3207.688,358123840.0,86.17399999999999,2.68,3223.683,3167.4990000000003,3002.347,348298675.2,427668112.0,375931536.94
2014-12-17,3325.82,3368.1940000000004,3360.598,3275.736,448140768.0,57.196000000000005,1.73,3251.493,3206.804,3022.2490000000003,352923084.8,425866521.6,379943160.89
2014-12-18,3359.09,3393.711,3345.927,3322.2290000000003,355970208.0,-14.671,-0.44,3284.0759999999996,3230.962,3039.285,350698790.4,418782249.6,378681426.53
2014-12-19,3345.6290000000004,3397.183,3383.167,3280.9159999999997,411211584.0,37.24,1.11,3322.0640000000003,3256.79,3056.4790000000003,372728044.8,407415283.2,380307934.4
2014-12-22,3396.2509999999997,3455.2070000000003,3394.4809999999998,3357.6609999999996,549801664.0,11.314,0.33,3357.515,3270.95,3093.74,424649612.8,413949216.0,393806032.0
2014-12-23,3358.798,3431.7790000000005,3324.9240000000004,3316.913,369736096.0,-69.557,-2.05,3361.8190000000004,3292.7509999999997,3125.7090000000003,426972064.0,387635369.6,401162252.0
2014-12-24,3332.1459999999997,3340.357,3230.385,3188.495,317449600.0,-94.539,-2.84,3335.777,3293.635,3151.077,400833830.4,376878457.6,404836608.0
2014-12-25,3254.48,3335.7790000000005,3335.4190000000003,3226.322,309799552.0,105.03399999999999,3.25,3333.675,3308.8759999999997,3180.123,391599699.2,371149244.8,407053348.8
2014-12-26,3343.64,3453.3379999999997,3445.8390000000004,3335.012,384614112.0,110.42,3.31,3346.21,3334.137,3211.974,386280204.8,379504124.8,407517872.0
2014-12-29,3502.183,3524.28,3455.455,3405.836,425015040.0,9.616,0.28,3358.4040000000005,3357.96,3243.756,361322880.0,392986246.4,410494252.8
2014-12-30,3450.8140000000003,3491.8259999999996,3457.554,3422.1740000000004,328233888.0,2.099,0.06,3384.93,3373.375,3270.437,353022438.4,389997251.2,408832681.6
2014-12-31,3462.389,3542.34,3533.705,3452.498,345934752.0,76.15100000000001,2.2,3445.594,3390.6859999999997,3298.745,358719468.8,379776649.6,402821585.6
2015-01-05,3566.0890000000004,3669.042,3641.5409999999997,3551.51,451198112.0,107.836,3.05,3506.8190000000004,3420.2470000000003,3325.6040000000003,386999180.8,389299440.0,404040844.8
2015-01-06,3608.428,3683.2259999999997,3641.059,3587.2309999999998,420962176.0,-0.48200000000000004,-0.01,3545.863,3446.0359999999996,3351.413,394268793.6,390274499.2,398844891.2
2015-01-07,3620.9240000000004,3671.19,3643.79,3601.698,320191232.0,2.7310000000000003,0.07,3583.53,3470.967,3370.9590000000003,373304032.0,367313456.0,390631336.0
2015-01-08,3650.073,3659.945,3559.259,3552.1,295003040.0,-84.531,-2.32,3603.8709999999996,3494.401,3393.5759999999996,366657862.4,359840150.4,373737760.0
2015-01-09,3547.574,3689.7529999999997,3546.723,3536.395,349982656.0,-12.536,-0.35,3606.474,3526.034,3409.835,367467443.2,363093456.0,369985956.8
2015-01-12,3531.515,3560.527,3513.5759999999996,3461.322,266567168.0,-33.147,-0.94,3580.881,3543.85,3426.363,330541254.4,358770217.6,364959731.2
2015-01-13,3506.4509999999996,3550.158,3514.04,3494.768,187153968.0,0.46399999999999997,0.01,3555.478,3550.67,3442.4040000000005,283779612.8,339024203.2,359264164.0
2015-01-14,3522.907,3547.242,3502.423,3471.56,196012512.0,-11.617,-0.33,3527.204,3555.367,3456.663,258943868.8,316123950.4,354555098.4
2015-01-15,3501.719,3604.1209999999996,3604.1209999999996,3482.27,237812336.0,101.698,2.9,3536.177,3570.0240000000003,3471.699,247505728.0,307081795.2,348539523.2
2015-01-16,3616.248,3662.158,3635.1459999999997,3601.258,282681600.0,31.025,0.86,3553.861,3580.1679999999997,3485.427,234045516.8,300756480.0,340266564.8
2015-01-19,3414.013,3497.252,3355.155,3330.9809999999998,329505280.0,-279.991,-7.7,3522.177,3551.5290000000005,3485.888,246633139.2,288587196.8,338943318.4
2015-01-20,3336.7929999999997,3419.204,3396.222,3325.6809999999996,297843232.0,41.067,1.22,3498.613,3527.046,3486.5409999999997,268770992.0,276275302.4,333274900.8
2015-01-21,3420.491,3557.7940000000003,3548.885,3409.43,337928224.0,152.66299999999998,4.5,3507.906,3517.555,3494.261,297154134.4,278049001.6,322681228.8
2015-01-22,3551.052,3576.756,3567.613,3520.053,268853600.0,18.727999999999998,0.53,3500.6040000000003,3518.39,3506.3959999999997,303362387.2,275434057.6,317637104.0
2015-01-23,3582.0879999999997,3627.8059999999996,3571.732,3548.6259999999997,280172160.0,4.119,0.12,3487.921,3520.8909999999996,3523.4629999999997,302860499.2,268453008.0,315773232.0
2015-01-26,3580.118,3611.617,3607.985,3559.3759999999997,239766208.0,36.253,1.01,3538.487,3530.3320000000003,3537.091,284912684.8,265772912.0,312271564.8
2015-01-27,3614.038,3616.258,3574.9309999999996,3510.0170000000003,287669184.0,-33.054,-0.92,3574.2290000000003,3536.421,3543.546,282877875.2,275824433.6,307424318.4
2015-01-28,3547.239,3583.312,3525.323,3512.393,216220208.0,-49.608000000000004,-1.39,3569.5170000000003,3538.711,3547.039,258536272.0,277845203.2,296984576.8
2015-01-29,3474.915,3505.5820000000003,3481.798,3453.901,211618864.0,-43.525,-1.24,3552.3540000000003,3526.4790000000003,3548.2509999999997,247089324.8,275225856.0,291153825.6
