date,open,high,close,low,volume
2008-01-02,5349.763,5404.928,5385.103,5283.448,4566871000.0
2008-01-03,5381.147,5422.673,5422.034,5315.948,6464587800.0
2008-01-04,5430.63,5499.085,5483.65,5422.456,5174642000.0
2008-01-07,5480.442,5569.152,5556.593,5455.501,5348540900.0
2008-01-08,5575.95,5630.624,5528.054,5485.234,6489950100.0
2008-01-09,5507.116,5614.678,5613.758,5490.305,4679687200.0
2008-01-10,5631.645,5707.667,5672.154,5602.594,6422989300.0
2008-01-11,5688.563,5702.572,5699.147,5629.638,5616707900.0
2008-01-14,5717.525,5756.919,5731.757,5679.287,4984601000.0
2008-01-15,5743.431,5754.107,5696.45,5652.04,5088660800.0
2008-01-16,5642.566,5642.566,5505.717,5498.39,5577446900.0
2008-01-17,5445.803,5533.65,5365.624,5226.639,6193693300.0
2008-01-18,5358.183,5419.57,5414.468,5307.496,4391300500.0
2008-01-21,5424.64,5434.349,5145.734,5122.463,4783361700.0
2008-01-22,5015.428,5032.245,4753.868,4708.388,6077269200.0
2008-01-23,4787.171,4976.272,4975.111,4751.499,5577638500.0
2008-01-24,5034.533,5079.796,5027.213,4926.374,5660598700.0
2008-01-25,5022.896,5121.408,5077.429,4966.519,4714210800.0
2008-01-28,5038.507,5038.507,4731.883,4711.277,4142528300.0
2008-01-29,4742.901,4845.658,4762.083,4688.728,2906225600.0
2008-01-30,4817.161,4858.101,4710.652,4606.144,3409897600.0
2008-01-31,4693.607,4733.699,4620.401,4614.282,3085258000.0
2008-02-01,4623.621,4660.994,4571.945,4414.119,3512552800.0
2008-02-04,4695.546,4951.248,4950.124,4695.546,4095314500.0
2008-02-05,4942.875,4995.574,4921.829,4878.119,3279635600.0
2008-02-13,4858.814,4883.244,4816.084,4785.8,2147565900.0
2008-02-14,4858.849,4913.318,4880.252,4842.847,1983778900.0
2008-02-15,4846.024,4846.024,4813.311,4742.101,2426260100.0
2008-02-18,4875.215,4944.88,4910.992,4845.308,3059007800.0
2008-02-19,4926.839,5020.753,5020.753,4885.695,3617696500.0
2008-02-20,5032.777,5062.261,4908.717,4901.661,3955772200.0
2008-02-21,4878.569,4924.449,4876.03,4796.099,3340361600.0
2008-02-22,4850.882,4850.882,4702.241,4649.813,3791862700.0
2008-02-25,4704.316,4722.636,4519.783,4510.695,3365200100.0
2008-02-26,4637.6,4668.831,4515.533,4394.594,3327639000.0
2008-02-27,4543.097,4660.408,4639.768,4500.89,2959239300.0
2008-02-28,4651.157,4670.173,4622.056,4582.823,2539817100.0
2008-02-29,4616.24,4683.159,4674.55,4597.627,2335085800.0
2008-03-03,4648.735,4803.9,4790.744,4611.7,3925841100.0
2008-03-04,4813.401,4836.657,4671.148,4657.381,4512977700.0
2008-03-05,4650.518,4689.967,4628.724,4519.743,3941799300.0
2008-03-06,4645.069,4746.584,4685.03,4592.621,4440226800.0
2008-03-07,4641.755,4693.207,4621.685,4597.009,2869094500.0
2008-03-10,4588.727,4588.765,4431.589,4406.232,3178035500.0
2008-03-11,4393.282,4441.184,4441.184,4315.183,2627659200.0
2008-03-12,4534.811,4553.336,4309.648,4308.35,2714564400.0
2008-03-13,4266.273,4296.364,4198.96,4121.275,3445130700.0
2008-03-14,4179.438,4212.408,4157.871,4092.791,2342788500.0
2008-03-17,4138.877,4138.877,3965.279,3958.292,2818096100.0
2008-03-18,3924.87,3996.959,3763.948,3700.35,3452375100.0
2008-03-19,3837.603,3954.466,3888.861,3776.301,3789847700.0
2008-03-20,3833.205,4044.692,4001.832,3658.04,4621294400.0
2008-03-21,3998.197,4083.163,4037.83,3958.967,4261516300.0
2008-03-24,4086.07,4103.574,3857.091,3857.091,3584243800.0
2008-03-25,3780.459,3937.671,3905.774,3747.019,3224586300.0
2008-03-26,3926.864,4001.552,3914.37,3888.018,2803676300.0
2008-03-27,3847.439,3873.611,3748.92,3745.879,3200066800.0
2008-03-28,3712.98,3925.856,3918.156,3661.381,4209677700.0
2008-03-31,3802.206,3891.66,3790.53,3780.122,2944084100.0
2008-04-01,3776.268,3815.157,3582.855,3566.209,3530346200.0
2008-04-02,3621.388,3698.526,3547.977,3493.184,4276588400.0
2008-04-03,3518.223,3665.651,3650.698,3457.617,3298949300.0
2008-04-07,3611.958,3854.068,3845.822,3578.377,4048498200.0
2008-04-08,3852.011,3935.333,3891.059,3820.1,4406792200.0
2008-04-09,3857.275,3911.697,3688.125,3687.597,3899716800.0
2008-04-10,3641.66,3754.715,3754.715,3608.316,2880439600.0
2008-04-11,3794.297,3825.295,3783.728,3755.015,2632859000.0
2008-04-14,3699.142,3710.786,3536.327,3525.185,3342704600.0
2008-04-15,3513.068,3583.861,3583.299,3417.249,3065688600.0
2008-04-16,3573.664,3583.808,3494.016,3483.185,2652812000.0
2008-04-17,3493.238,3559.1,3386.63,3340.875,2953061800.0
2008-04-18,3356.562,3390.551,3272.499,3248.528,2788816200.0
2008-04-21,3516.425,3516.425,3267.554,3223.886,4136230700.0
2008-04-22,3207.881,3301.548,3296.277,3122.39,3253796900.0
2008-04-23,3267.359,3467.431,3453.727,3245.296,4427255300.0
2008-04-24,3739.321,3781.477,3774.504,3659.726,9657489600.0
2008-04-25,3781.912,3915.841,3803.07,3737.984,8481449100.0
2008-04-28,3740.951,3791.77,3729.154,3711.185,4883123500.0
2008-04-29,3704.927,3797.528,3776.943,3702.021,4454044000.0
2008-04-30,3793.853,3970.575,3959.119,3793.853,6990977700.0
2008-05-05,4015.212,4061.472,4055.779,3972.561,6253407300.0
2008-05-06,4021.073,4075.575,4010.888,3961.344,5845928000.0
2008-05-07,3986.129,4042.407,3821.319,3821.107,5445770600.0
2008-05-08,3774.044,3926.004,3925.041,3761.28,4405566800.0
2008-05-09,3960.886,3973.058,3878.924,3806.519,5365592900.0
2008-05-12,3804.985,3952.789,3904.92,3766.577,4538266000.0
2008-05-13,3786.534,3923.171,3851.687,3778.718,5033801200.0
2008-05-14,3843.47,3975.795,3975.782,3843.47,5060690100.0
2008-05-15,4006.658,4038.852,3948.088,3948.062,5077297500.0
2008-05-16,3948.034,3982.221,3936.121,3882.895,3972175200.0
2008-05-19,3926.314,3936.277,3914.072,3865.5,2970958100.0
2008-05-20,3911.096,3946.441,3710.818,3698.554,3970262900.0
2008-05-21,3668.181,3801.067,3783.049,3591.566,4359616200.0
2008-05-22,3732.641,3783.849,3711.444,3704.157,4074271700.0
2008-05-23,3697.89,3741.06,3675.147,3629.009,3344043100.0
2008-05-26,3643.012,3643.012,3559.217,3555.762,2818019000.0
2008-05-27,3549.986,3594.657,3576.197,3533.466,2476269300.0
2008-05-28,3583.284,3697.996,3676.23,3561.733,3103491400.0
2008-05-29,3666.196,3677.02,3580.868,3578.732,2942274000.0
2008-05-30,3585.605,3620.225,3611.33,3552.662,2859084700.0
2008-06-02,3600.234,3650.478,3625.826,3580.58,2825335800.0
2008-06-03,3624.572,3641.429,3614.111,3585.124,3473514100.0
2008-06-04,3601.54,3605.058,3546.916,3513.641,2941765300.0
2008-06-05,3529.978,3542.244,3512.138,3487.792,2398927900.0
2008-06-06,3519.116,3532.297,3489.502,3470.563,2094422900.0
2008-06-10,3344.453,3352.321,3206.562,3188.796,3294996100.0
2008-06-11,3155.943,3181.818,3140.299,3097.395,2940973500.0
2008-06-12,3123.64,3148.742,3084.633,3022.876,3145410900.0
2008-06-13,3087.337,3108.988,2979.117,2975.661,2531983700.0
2008-06-16,2981.085,3012.993,2952.242,2900.075,2681379400.0
2008-06-17,2950.399,2977.889,2842.676,2820.643,2646377800.0
2008-06-18,2820.237,3007.18,2991.273,2759.107,4256009500.0
2008-06-19,2967.402,2967.402,2773.076,2768.225,3631903900.0
2008-06-20,2795.465,2946.939,2849.668,2691.868,5167590500.0
2008-06-23,2798.428,2845.479,2789.941,2771.363,2663149300.0
2008-06-24,2775.69,2865.903,2851.915,2770.987,3179245600.0
2008-06-25,2844.922,2973.173,2969.537,2834.945,4242526100.0
2008-06-26,2964.516,3010.278,2980.907,2922.786,4259931200.0
2008-06-27,2886.18,2899.836,2816.021,2787.252,4088655600.0
2008-06-30,2782.844,2834.272,2791.819,2747.614,2529540600.0
2008-07-01,2799.195,2809.381,2698.347,2690.181,2885158500.0
2008-07-02,2702.634,2745.939,2699.597,2670.064,2791636500.0
2008-07-03,2654.479,2807.682,2760.612,2617.258,4566030500.0
2008-07-04,2751.213,2783.847,2741.852,2716.022,3790501000.0
